datetime,Open,High,Low,Close,Adj Close,Volume,datetime_2
18/09/2018,112.190002,113.699997,111.720001,113.209999,107.258728,22170900,19/09/2018
19/09/2018,113.050003,113.32,111.040001,111.699997,105.828117,21728400,19/09/2018
20/09/2018,112.279999,113.800003,111.93,113.57,107.599808,23714500,20/09/2018
21/09/2018,114,115.290001,113.510002,114.260002,108.25354,71229700,21/09/2018
24/09/2018,113.029999,114.900002,112.220001,114.669998,108.641968,27334500,24/09/2018
25/09/2018,114.800003,115.099998,113.75,114.449997,108.43354,22668000,25/09/2018
26/09/2018,114.470001,115.059998,113.739998,113.980003,107.988258,19352000,26/09/2018
27/09/2018,114.779999,114.910004,114.199997,114.410004,108.395645,19091300,27/09/2018
28/09/2018,114.190002,114.57,113.68,114.370003,108.357742,21647800,28/09/2018
1/10/2018,114.75,115.68,114.730003,115.610001,109.532555,18883100,1/10/2018
2/10/2018,115.300003,115.839996,114.440002,115.150002,109.096748,20787200,2/10/2018
3/10/2018,115.419998,116.18,114.93,115.169998,109.115685,16648000,3/10/2018
4/10/2018,114.610001,114.760002,111.629997,112.790001,106.860809,34821700,4/10/2018
5/10/2018,112.629997,113.169998,110.639999,112.129997,106.235497,29068900,5/10/2018
8/10/2018,111.660004,112.029999,109.339996,110.849998,105.022789,29640600,8/10/2018
9/10/2018,111.139999,113.080002,110.800003,112.260002,106.358665,26198600,9/10/2018
10/10/2018,111.239998,111.5,105.790001,106.160004,100.579346,61376300,10/10/2018
11/10/2018,105.349998,108.93,104.199997,105.910004,100.342476,63904300,11/10/2018
12/10/2018,109.010002,111.239998,107.120003,109.57,103.810081,47742100,12/10/2018
15/10/2018,108.910004,109.480003,106.949997,107.599998,101.943626,32068100,12/10/2018
16/10/2018,109.540001,111.410004,108.949997,111,105.164894,31610200,16/10/2018
17/10/2018,111.68,111.809998,109.550003,110.709999,104.890152,26548200,17/10/2018
18/10/2018,110.099998,110.529999,107.830002,108.5,102.796333,32506200,18/10/2018
19/10/2018,108.93,110.860001,108.209999,108.660004,102.947914,32785500,19/10/2018
22/10/2018,109.32,110.540001,108.239998,109.629997,103.866905,26545600,22/10/2018
23/10/2018,107.769997,108.970001,105.110001,108.099998,102.417351,43770400,23/10/2018
24/10/2018,108.410004,108.489998,101.589996,102.32,96.9412,63897800,24/10/2018
25/10/2018,106.550003,109.269997,106.150002,108.300003,102.606842,61646800,25/10/2018
26/10/2018,105.690002,108.75,104.760002,106.959999,101.337265,55523100,26/10/2018
29/10/2018,108.110001,108.699997,101.629997,103.849998,98.390778,55162000,29/10/2018
30/10/2018,103.660004,104.379997,100.110001,103.730003,98.277092,65350900,30/10/2018
31/10/2018,105.440002,108.139999,105.389999,106.809998,101.195168,51062400,31/10/2018
1/11/2018,107.050003,107.32,105.529999,105.919998,100.351944,33384200,1/11/2018
2/11/2018,106.480003,107.32,104.980003,106.160004,100.579346,37680200,2/11/2018
5/11/2018,106.370003,107.739998,105.900002,107.510002,101.85836,27922100,5/11/2018
6/11/2018,107.379997,108.839996,106.279999,107.720001,102.057327,24340200,6/11/2018
7/11/2018,109.440002,112.239998,109.400002,111.959999,106.074455,37901700,7/11/2018
8/11/2018,111.800003,112.209999,110.910004,111.75,105.875488,25644100,8/11/2018
9/11/2018,110.849998,111.449997,108.760002,109.57,103.810081,32039200,9/11/2018
12/11/2018,109.419998,109.959999,106.099998,106.870003,101.251999,33621800,12/11/2018
13/11/2018,107.550003,108.739998,106.639999,106.940002,101.318344,35374600,13/11/2018
14/11/2018,108.099998,108.260002,104.470001,104.970001,99.881561,39495100,14/11/2018
15/11/2018,104.989998,107.800003,103.910004,107.279999,102.079559,38505200,15/11/2018
16/11/2018,107.080002,108.879997,106.800003,108.290001,103.040573,33502100,16/11/2018
19/11/2018,108.269997,108.559998,103.550003,104.620003,99.5485,44773900,19/11/2018
20/11/2018,101.800003,102.970001,99.349998,101.709999,96.779556,64052500,20/11/2018
21/11/2018,103.599998,104.43,102.239998,103.110001,98.111687,28130600,21/11/2018
23/11/2018,102.169998,103.809998,102,103.07,98.073647,13823100,23/11/2018
26/11/2018,104.790001,106.629997,104.580002,106.470001,101.308815,32336200,26/11/2018
27/11/2018,106.269997,107.330002,105.360001,107.139999,101.946342,29124500,27/11/2018
28/11/2018,107.889999,111.330002,107.860001,111.120003,105.733398,46788500,28/11/2018
29/11/2018,110.330002,111.120003,109.029999,110.190002,104.848488,28123200,29/11/2018
30/11/2018,110.699997,110.970001,109.360001,110.889999,105.514557,33665600,30/11/2018
3/12/2018,113,113.419998,110.730003,112.089996,106.65638,34732800,3/12/2018
4/12/2018,111.940002,112.639999,108.209999,108.519997,103.259445,45197000,4/12/2018
6/12/2018,105.82,109.239998,105,109.190002,103.89698,49107400,6/12/2018
7/12/2018,108.379997,109.449997,104.300003,104.82,99.738808,45044900,7/12/2018
10/12/2018,104.800003,107.980003,103.889999,107.589996,102.374519,40801500,10/12/2018
11/12/2018,109.800003,110.949997,107.440002,108.589996,103.32605,42381900,11/12/2018
12/12/2018,110.889999,111.269997,109.040001,109.080002,103.792297,36183000,12/12/2018
13/12/2018,109.580002,110.870003,108.629997,109.449997,104.144356,31333400,13/12/2018
14/12/2018,108.25,109.260002,105.5,106.029999,100.89016,47043100,14/12/2018
17/12/2018,105.410004,105.800003,101.709999,102.889999,97.902351,56957300,17/12/2018
18/12/2018,103.75,104.510002,102.519997,103.970001,98.929993,49319200,18/12/2018
19/12/2018,103.650002,106.879997,101.349998,103.690002,98.663582,68198200,19/12/2018
20/12/2018,103.050003,104.309998,98.779999,101.510002,96.589264,70334200,20/12/2018
21/12/2018,101.629997,103,97.459999,98.230003,93.468254,111242100,21/12/2018
24/12/2018,97.68,97.970001,93.980003,94.129997,89.567017,43935200,24/12/2018
26/12/2018,95.139999,100.690002,93.959999,100.559998,95.685295,51634800,26/12/2018
27/12/2018,99.300003,101.190002,96.400002,101.18,96.275246,49498500,27/12/2018
28/12/2018,102.089996,102.410004,99.519997,100.389999,95.52356,38196300,28/12/2018
31/12/2018,101.290001,102.400002,100.440002,101.57,96.646339,33173800,31/12/2018
2/01/2019,99.550003,101.75,98.940002,101.120003,96.21817,35329300,2/01/2019
3/01/2019,100.099998,100.190002,97.199997,97.400002,92.67849,42579100,3/01/2019
4/01/2019,99.720001,102.510002,98.93,101.93,96.988892,44060600,4/01/2019
7/01/2019,101.639999,103.269997,100.980003,102.059998,97.112595,35656100,7/01/2019
8/01/2019,103.040001,103.970001,101.709999,102.800003,97.816711,31514400,8/01/2019
9/01/2019,103.860001,104.879997,103.239998,104.269997,99.215439,32280800,9/01/2019
10/01/2019,103.220001,103.75,102.379997,103.599998,98.577927,30067600,10/01/2019
11/01/2019,103.190002,103.440002,101.639999,102.800003,97.816711,28314200,11/01/2019
14/01/2019,101.900002,102.870003,101.260002,102.050003,97.103081,28437100,14/01/2019
15/01/2019,102.510002,105.050003,101.879997,105.010002,99.919601,31587600,15/01/2019
16/01/2019,105.260002,106.260002,104.959999,105.379997,100.271652,29853900,16/01/2019
17/01/2019,105,106.629997,104.760002,106.120003,100.975784,28393000,17/01/2019
18/01/2019,107.459999,107.900002,105.910004,107.709999,102.488693,37427600,18/01/2019
22/01/2019,106.75,107.099998,104.860001,105.68,100.557106,32371300,22/01/2019
23/01/2019,106.120003,107.040001,105.339996,106.709999,101.537201,25874300,23/01/2019
24/01/2019,106.860001,107,105.339996,106.199997,101.05191,23164800,24/01/2019
25/01/2019,107.239998,107.879997,106.199997,107.169998,101.974884,31225600,25/01/2019
28/01/2019,106.260002,106.480003,104.660004,105.080002,99.986198,29476700,28/01/2019
29/01/2019,104.879997,104.970001,102.169998,102.940002,97.949951,31490500,29/01/2019
30/01/2019,104.620003,106.379997,104.330002,106.379997,101.223175,49471900,30/01/2019
31/01/2019,103.800003,105.220001,103.18,104.43,99.367699,55636400,31/01/2019
1/02/2019,103.779999,104.099998,102.349998,102.779999,97.797699,35535700,1/02/2019
4/02/2019,102.870003,105.800003,102.769997,105.739998,100.614212,31315100,4/02/2019
5/02/2019,106.059998,107.269997,105.959999,107.220001,102.022461,27325400,5/02/2019
6/02/2019,107,107,105.529999,106.029999,100.89016,20609800,6/02/2019
7/02/2019,105.190002,105.589996,104.290001,105.269997,100.166985,29760700,7/02/2019
8/02/2019,104.389999,105.779999,104.260002,105.669998,100.5476,21461100,8/02/2019
11/02/2019,106.199997,106.580002,104.970001,105.25,100.147949,18914100,11/02/2019
12/02/2019,106.139999,107.139999,105.480003,106.889999,101.708466,25056600,12/02/2019
13/02/2019,107.5,107.779999,106.709999,106.809998,101.632339,18394900,13/02/2019
14/02/2019,106.309998,107.290001,105.660004,106.900002,101.717957,21784700,14/02/2019
15/02/2019,107.910004,108.300003,107.360001,108.220001,102.973991,26606900,15/02/2019
19/02/2019,107.790001,108.660004,107.779999,108.169998,102.926407,18038500,19/02/2019
20/02/2019,107.860001,107.940002,106.290001,107.150002,102.391273,21607700,20/02/2019
21/02/2019,106.900002,109.480003,106.870003,109.410004,104.550919,29063200,21/02/2019
22/02/2019,110.050003,111.199997,109.82,110.970001,106.041634,27763200,22/02/2019
25/02/2019,111.760002,112.18,111.260002,111.589996,106.634071,23750600,25/02/2019
26/02/2019,111.260002,113.239998,111.169998,112.360001,107.369881,21536700,26/02/2019
27/02/2019,111.690002,112.360001,110.879997,112.169998,107.188332,21487100,27/02/2019
28/02/2019,112.040001,112.879997,111.730003,112.029999,107.054558,29083900,28/02/2019
1/03/2019,112.889999,113.019997,111.669998,112.529999,107.532341,23501200,1/03/2019
4/03/2019,113.019997,113.25,110.800003,112.260002,107.274345,26608000,4/03/2019
